Tipo_Registro;Nr_Contrato;Dt_Vencimento;Tipo_Parcela;Nr_Parcela;Vl_Original;Vl_Saldo;Vl_Tarifa;Cliente;Dt_Inclusao;Dt_Devolucao;Dt_Inibicao;Motivo;Dt_Notificacao;Marcar_Dt_Lote;Dt_Lote;Documento;
7;000304755-2;19/10/2017;0;1;250,00;250,00;;3215;;13/12/2017;;61;;;;;
7;000304759-2;03/11/2017;0;2;291,20;291,20;;3215;;13/12/2017;;61;;;;;
7;000304761-2;19/10/2017;0;1;3.480,00;3.480,00;;3215;;13/12/2017;;61;;;;;
7;000304772-2;20/10/2017;0;1;4.800,00;4.800,00;;3215;;13/12/2017;;61;;;;;
7;000304789-2;21/10/2017;0;1;1.246,81;1.246,81;;3216;;13/12/2017;;61;;;;;
7;000304828-2;10/10/2017;0;1;3.000,00;3.000,00;;3215;;13/12/2017;;61;;;;;
7;000304829-2;10/10/2017;0;1;3.000,00;3.000,00;;3215;;13/12/2017;;61;;;;;
7;000304840-2;24/10/2017;0;1;493,71;493,71;;3215;;13/12/2017;;61;;;;;
7;000304860-2;12/10/2017;0;1;9.774,00;9.774,00;;3215;;13/12/2017;;61;;;;;
7;000304875-2;13/10/2017;0;1;181,10;181,10;;3215;;13/12/2017;;61;;;;;
7;000304890-2;28/10/2017;0;1;3.846,81;3.846,81;;3217;;13/12/2017;;61;;;;;
7;000304906-2;29/10/2017;0;1;7.320,00;7.320,00;;3215;;13/12/2017;;61;;;;;
7;000304964-2;05/10/2017;0;1;712,89;712,89;;3215;;13/12/2017;;61;;;;;
7;000304967-2;04/11/2017;0;1;324,00;324,00;;3215;;13/12/2017;;61;;;;;
7;000305027-2;11/10/2017;0;1;398,80;398,80;;3215;;13/12/2017;;61;;;;;
7;000305029-2;08/11/2017;0;1;6.300,00;6.300,00;;3215;;13/12/2017;;61;;;;;
7;000305052-2;10/11/2017;0;1;445,07;445,07;;3215;;13/12/2017;;61;;;;;
7;000305133-2;10/11/2017;0;1;498,75;498,75;;3216;;13/12/2017;;61;;;;;
7;000305136-2;10/11/2017;0;1;266,00;266,00;;3215;;13/12/2017;;61;;;;;
7;000305164-2;08/11/2017;0;1;620,00;620,00;;3217;;13/12/2017;;61;;;;;
7;000305165-2;08/11/2017;0;1;310,00;310,00;;3217;;13/12/2017;;61;;;;;
7;000305173-2;09/11/2017;0;1;779,99;779,99;;3215;;13/12/2017;;61;;;;;
7;001106134-2;05/10/2017;0;5;338,00;338,00;;3215;;13/12/2017;;61;;;;;
7;001106805-2;14/10/2017;0;5;107,19;107,19;;3215;;13/12/2017;;61;;;;;
7;001106864-2;15/10/2017;0;5;155,80;155,80;;3215;;13/12/2017;;61;;;;;
7;001106977-2;16/10/2017;0;5;1.803,40;1.803,40;;3215;;13/12/2017;;61;;;;;
7;001106978-2;16/10/2017;0;5;901,71;901,71;;3215;;13/12/2017;;61;;;;;
7;001106992-2;16/10/2017;0;5;3.606,75;3.606,75;;3215;;13/12/2017;;61;;;;;
7;001107018-2;16/10/2017;0;5;197,59;197,59;;3215;;13/12/2017;;61;;;;;
7;001107176-2;20/10/2017;0;5;1.803,40;1.803,40;;3215;;13/12/2017;;61;;;;;
